Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] criticized the attendant oWant [GEN],to apologize,to take revenge,to apologize
[Name] criticized the attendant xAttr [GEN],mean,irresponsible,mean
[Name] criticized the attendant xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] criticized the attendant xIntent [GEN],to be mean,to be mean,to be mean
[Name] criticized the attendant xNeed [GEN],to observe something,to go to the store,to observe something
[Name] criticized the attendant xReact [GEN],disappointed,upset,disappointed
[Name] criticized the attendant xReason [GEN],the person is rude,he is mad,the attendant did something wrong
[Name] criticized the attendant xWant [GEN],to apologize,to apologize,to apologize
[Name] fired the librarian AtLocation [GEN],library,library,library
[Name] fired the librarian CapableOf [GEN],page librarian,page librarian,get fired
[Name] fired the librarian Causes [GEN],librarian,librarian,to find another job
[Name] fired the librarian CausesDesire [GEN],librarian,librarian,to find another job
[Name] fired the librarian CreatedBy [GEN],librarian,librarian,to find another job
[Name] fired the librarian DefinedAs [GEN],librarian,librarian,to find another job
[Name] fired the librarian DesireOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian Desires [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasA [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasFirstSubevent [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasLastSubevent [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasPainCharacter [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasPainIntensity [GEN],librarian,librarian,to find another job
[Name] fired the librarian HasPrerequisite [GEN],librarian,librarian,to get a new librarian
[Name] fired the librarian HasProperty [GEN],powerful,found in library,responsible
[Name] fired the librarian HasSubEvent [GEN],get fired,get fired,gets fired
[Name] fired the librarian HasSubevent [GEN],librarian,librarian,to find another job
[Name] fired the librarian HinderedBy [GEN],PersonX doesn't have the authority.,PersonX doesn't have the authority.,PersonX doesn't have the authority.
[Name] fired the librarian InheritsFrom [GEN],librarian,librarian,to find another job
[Name] fired the librarian InstanceOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian IsA [GEN],librarian,librarian,to get a new librarian
[Name] fired the librarian LocatedNear [GEN],librarian,librarian,to find another job
[Name] fired the librarian LocationOfAction [GEN],librarian,librarian,to find another job
[Name] fired the librarian MadeOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian MadeUpOf [GEN],librarian,librarian,librarian
[Name] fired the librarian MotivatedByGoal [GEN],librarian,librarian,to find another job
[Name] fired the librarian NotCapableOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian NotDesires [GEN],librarian,librarian,to find another job
[Name] fired the librarian NotHasA [GEN],librarian,librarian,to find another job
[Name] fired the librarian NotHasProperty [GEN],librarian,librarian,librarian
[Name] fired the librarian NotIsA [GEN],librarian,librarian,to find another job
[Name] fired the librarian NotMadeOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian ObjectUse [GEN],get a job,get a job,find a new job
[Name] fired the librarian PartOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian ReceivesAction [GEN],librarian,librarian,to get a new librarian
[Name] fired the librarian RelatedTo [GEN],librarian,librarian,to find another job
[Name] fired the librarian SymbolOf [GEN],librarian,librarian,to find another job
[Name] fired the librarian UsedFor [GEN],librarian,librarian,to find another job
[Name] fired the librarian isAfter [GEN],PersonX gets fired,PersonX tells a story,The librarian tells PersonX to leave
[Name] fired the librarian isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX leaves the library
[Name] fired the librarian isFilledBy [GEN],librarian,librarian,the librarian
[Name] fired the librarian oEffect [GEN],gets fired,gets fired,librarian gets fired
[Name] fired the librarian oReact [GEN],disappointed,disappointed,disappointed
[Name] fired the librarian oWant [GEN],to get a job,to tell the librarian,to find another job
[Name] fired the librarian xAttr [GEN],mean,mean,mean
[Name] fired the librarian xEffect [GEN],gets fired,gets fired,gets fired
[Name] fired the librarian xIntent [GEN],librarian,librarian,to be free
[Name] fired the librarian xNeed [GEN],get a job,find librarian,to go to the librarian
[Name] fired the librarian xReact [GEN],powerful,relieved,relieved
[Name] fired the librarian xReason [GEN],librarian fired,the librarian is sick,the librarian is bad
[Name] fired the librarian xWant [GEN],to get a job,to go to the library,to go home
[Name] is waiting for the nurse AtLocation [GEN],hospital,hospital,the hospital
[Name] is waiting for the nurse CapableOf [GEN],wait in line,page nurse,wait in line
[Name] is waiting for the nurse Causes [GEN],patient,wait for the nurse,to wait
[Name] is waiting for the nurse CausesDesire [GEN],patient,patient,to wait
[Name] is waiting for the nurse CreatedBy [GEN],patient,patient,to wait
[Name] is waiting for the nurse DefinedAs [GEN],patient,patient,to wait
[Name] is waiting for the nurse DesireOf [GEN],patient,patient,to get to the hospital
[Name] is waiting for the nurse Desires [GEN],patient,patient,to wait
[Name] is waiting for the nurse HasA [GEN],patient,patient,to wait
[Name] is waiting for the nurse HasFirstSubevent [GEN],patient,patient,to wait for the nurse
[Name] is waiting for the nurse HasLastSubevent [GEN],patient,patient,to wait
[Name] is waiting for the nurse HasPainCharacter [GEN],patient,patient,to wait for the nurse
[Name] is waiting for the nurse HasPainIntensity [GEN],patient,patient,to wait
[Name] is waiting for the nurse HasPrerequisite [GEN],patient,patient,to wait
[Name] is waiting for the nurse HasProperty [GEN],nervous,nervous,nervous
[Name] is waiting for the nurse HasSubEvent [GEN],tired,worried,takes medicine
[Name] is waiting for the nurse HasSubevent [GEN],patient,patient,to wait
[Name] is waiting for the nurse HinderedBy [GEN],PersonX is in the hospital.,PersonX is in the hospital.,PersonX is in the hospital.
[Name] is waiting for the nurse InheritsFrom [GEN],patient,patient,to wait for the nurse
[Name] is waiting for the nurse InstanceOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse IsA [GEN],patient,patient,to wait
[Name] is waiting for the nurse LocatedNear [GEN],patient,patient,to wait
[Name] is waiting for the nurse LocationOfAction [GEN],patient,patient,to wait for the nurse
[Name] is waiting for the nurse MadeOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse MadeUpOf [GEN],nurse,nurse,patient
[Name] is waiting for the nurse MotivatedByGoal [GEN],patient,patient,to wait
[Name] is waiting for the nurse NotCapableOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse NotDesires [GEN],patient,patient,to wait
[Name] is waiting for the nurse NotHasA [GEN],patient,patient,to wait for the nurse
[Name] is waiting for the nurse NotHasProperty [GEN],patient,patient,to wait
[Name] is waiting for the nurse NotIsA [GEN],patient,patient,to wait
[Name] is waiting for the nurse NotMadeOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse ObjectUse [GEN],wait in line,wait in line,to be patient
[Name] is waiting for the nurse PartOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse ReceivesAction [GEN],patient,patient,to wait
[Name] is waiting for the nurse RelatedTo [GEN],patient,patient,to wait
[Name] is waiting for the nurse SymbolOf [GEN],patient,patient,to wait
[Name] is waiting for the nurse UsedFor [GEN],patient,patient,to wait
[Name] is waiting for the nurse isAfter [GEN],PersonX arrives at the hospital,the nurse arrives at the hospital,PersonX goes to the hospital
[Name] is waiting for the nurse isBefore [GEN],PersonX leaves the hospital,PersonX waits for the nurse,PersonX waits for the nurse
[Name] is waiting for the nurse isFilledBy [GEN],child,child,truck
[Name] is waiting for the nurse oEffect [GEN],is asked questions,is asked questions,talks to PersonX
[Name] is waiting for the nurse oReact [GEN],happy,happy,happy
[Name] is waiting for the nurse oWant [GEN],to take a break,to make sure they are ok,to make sure they are ok
[Name] is waiting for the nurse xAttr [GEN],patient,patient,patient
[Name] is waiting for the nurse xEffect [GEN],takes medicine,takes medicine,takes medicine
[Name] is waiting for the nurse xIntent [GEN],patient,patient,to be patient
[Name] is waiting for the nurse xNeed [GEN],wait in line,wait in line,to go to the nurse
[Name] is waiting for the nurse xReact [GEN],relieved,relieved,anxious
[Name] is waiting for the nurse xReason [GEN],is sick,is sick,they are sick
[Name] is waiting for the nurse xWant [GEN],to go home,to thank the nurse,to go home
[Name] gave the attendant some tips AtLocation [GEN],train station,theater,kitchen
[Name] gave the attendant some tips CapableOf [GEN],give tips,give tips,give tips
[Name] gave the attendant some tips Causes [GEN],to be helpful,thankful,to be helpful
[Name] gave the attendant some tips CausesDesire [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips CreatedBy [GEN],teach,truck,to be helpful
[Name] gave the attendant some tips DefinedAs [GEN],truck,satisfied,to be helpful
[Name] gave the attendant some tips DesireOf [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips Desires [GEN],to be helpful,to be helpful,to be helpful
[Name] gave the attendant some tips HasA [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips HasFirstSubevent [GEN],teach,satisfied,helpful
[Name] gave the attendant some tips HasLastSubevent [GEN],teach,waiter,to be helpful
[Name] gave the attendant some tips HasPainCharacter [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips HasPainIntensity [GEN],truck,waiter,to be helpful
[Name] gave the attendant some tips HasPrerequisite [GEN],truck,others,to be helpful
[Name] gave the attendant some tips HasProperty [GEN],important,good,generous
[Name] gave the attendant some tips HasSubEvent [GEN],receive thanks,receive thanks,receives thanks
[Name] gave the attendant some tips HasSubevent [GEN],teach,truck,to be helpful
[Name] gave the attendant some tips HinderedBy [GEN],PersonX doesn't know what to say.,PersonX doesn't know what to say.,PersonX has no money.
[Name] gave the attendant some tips InheritsFrom [GEN],teach,waiter,to be helpful
[Name] gave the attendant some tips InstanceOf [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips IsA [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips LocatedNear [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips LocationOfAction [GEN],teach,truck,to be helpful
[Name] gave the attendant some tips MadeOf [GEN],satisfied,satisfied,to be helpful
[Name] gave the attendant some tips MadeUpOf [GEN],candy,tip,a waiter
[Name] gave the attendant some tips MotivatedByGoal [GEN],satisfied,satisfied,to be helpful
[Name] gave the attendant some tips NotCapableOf [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips NotDesires [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips NotHasA [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips NotHasProperty [GEN],truck,truck,to be helpful
[Name] gave the attendant some tips NotIsA [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips NotMadeOf [GEN],teacher,satisfied,to be helpful
[Name] gave the attendant some tips ObjectUse [GEN],give to someone,give to someone,to be helpful
[Name] gave the attendant some tips PartOf [GEN],teach,waiter,to be helpful
[Name] gave the attendant some tips ReceivesAction [GEN],teach,satisfied,to be helpful
[Name] gave the attendant some tips RelatedTo [GEN],satisfied,satisfied,to be helpful
[Name] gave the attendant some tips SymbolOf [GEN],satisfied,satisfied,helpful
[Name] gave the attendant some tips UsedFor [GEN],truck,satisfied,to be helpful
[Name] gave the attendant some tips isAfter [GEN],PersonX asks for tips,PersonX asks a question,PersonX asks for tips
[Name] gave the attendant some tips isBefore [GEN],PersonX gets a tip from the waitress,PersonX asks the waitress for more tips,PersonX leaves the restaurant
[Name] gave the attendant some tips isFilledBy [GEN],the waiter,the waiter,the waiter
[Name] gave the attendant some tips oEffect [GEN],smiles,smiles,smiles
[Name] gave the attendant some tips oReact [GEN],happy,grateful,grateful
[Name] gave the attendant some tips oWant [GEN],to thank them,to thank them,to thank PersonX
[Name] gave the attendant some tips xAttr [GEN],helpful,helpful,generous
